"C_MENU,C,1","C_REC,C,1","NAME_REC,C,35","ENDS,L"
"K",,"Типы подразделений УВД",ЛОЖЬ
"A",,"Тип транспорного средства",ЛОЖЬ
"B",,"Марка транспортного средства",ЛОЖЬ
"B","N","Легковой автомобиль",ИСТИНА
"B","X","Легковой фургон, пикап",ИСТИНА
"B","O","Легковой повышенной проходимости",ИСТИНА
"B","P","Грузовой",ИСТИНА
"B","Q","Автобус",ИСТИНА
"B","R","Прицеп",ИСТИНА
"B","S","Мотоцикл",ИСТИНА
"B","T","Катера и лодки",ИСТИНА
"C",,"Завод изготовитель",ЛОЖЬ
"D",,"Тип кузова",ЛОЖЬ
"E",,"Штатная группа",ЛОЖЬ
"F",,"Класс автотранспорта",ЛОЖЬ
"G",,"Цвет транспорта",ЛОЖЬ
"G","(","белый",
"G",")","желтый",
"H",,"Вид службы",ЛОЖЬ
"I",,"Организ., выдавшая наряд",ЛОЖЬ
"J",,"Склад,с которого получен транспорт",ЛОЖЬ
"M",,"Назначение автомобиля",ЛОЖЬ
"A","(","Легковой автомобиль",
"A","6","Оперативно-служ. на грузовом шасси",ЛОЖЬ
"A",">","Специальный",ЛОЖЬ
"G","*","красный",
"G","+","зеленый",
"H","(","УЭБиПК",
"G",",","синий",
"G","-","черный",
"C","(","Волжский автозавод, СССР",
"C","/","АЗЛК, СССР",
"G",".","стальной",
"G","/","серый",
"D","(","седан",
"D",")","кабриолет",
"D","*","пикап",
"G","0","""мокрый асфальт""",
"H",")","Уголовный розыск",
"C",")","ГАЗ, СССР",
"E",")","Стандартный",
"E","(","АДЧ",
"E","+","АП-ГАИ",
"E",",","АЭ",
"E","-","Автомобиль БД",
"E",".","АМВ",
"E","/","ПРЭП",
"C","*","Ульяновский, СССР",
"C","+","ЗИЛ, СССР",
"C",",","Ижевский, СССР",
"C","-","Рижский, Латвийская республика",
"C",".","Курганский, СССР",
"C","0","Павловский, СССР",
"D","+","хечбек",
"A",",","Автобус",
"A","2","Погрузчик",ЛОЖЬ
"A",".","Мотоцикл",
"A","/","Плавсредства",
"A","0","Мотолодка",
"N","+","москвич М-412",
"N","(","москвич М-2140",
"N",")","москвич М-2137",
"N","*","москвич М-2141",
"9",",","москвич М-2715",
"N",".","ВАЗ-21011",
"N","/","ВАЗ-21013",
"N","0","ВАЗ-21015",
"N","1","ВАЗ-21018",
"N","3","ВАЗ-2103",
"N","4","ВАЗ-2104",
"N","5","ВАЗ-2105",
"N","6","ВАЗ-2106",
"N","7","ВАЗ-21061",
"N","8","ВАЗ-21063",
"N","9","ВАЗ-2107",
"N",":","ВАЗ-2108",
"N",";","Фиат-132",
"N","<","ВАЗ-21081",
"N","=","ВАЗ-2109",
"N",">","ВАЗ-21083",
"N","?","ВАЗ-21051",
"N","@","ВАЗ-21053",
